frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_1020.jpg,0.0499,0.0447,0.0882,0.0428,0,11.19
aug_0_1045.jpg,0.1651,0.196,0.2146,0.1465,0,40.97
aug_0_1048.jpg,0.119,0.1589,0.0159,0.0898,0,29.8
aug_0_1052.jpg,0.1345,0.1234,0.2291,0.1649,0,33.7
aug_0_1056.jpg,0.1858,0.0966,0.2147,0.1357,0,34.87
aug_0_1062.jpg,0.0413,0.0005,0.1826,0.1754,0,15.87
aug_0_1064.jpg,0.1257,0.0782,0.1238,0.0867,0,24.21
aug_0_1080.jpg,0.1298,0.16,0.1196,0.0991,0,31.59
aug_0_1087.jpg,0.1561,0.0537,0.171,0.1255,0,28.01
aug_0_1091.jpg,0.0629,0.0072,0.1606,0.1153,0,14.52
aug_0_1099.jpg,0.0685,0.1623,0.0181,0.1008,0,25.74
aug_0_1140.jpg,0.1984,0.0185,0.2546,0.1644,0,32.19
aug_0_1145.jpg,0.0972,0.061,0.2441,0.1478,0,24.15
aug_0_1157.jpg,0.1055,0.0611,0.2003,0.1553,0,25.49
aug_0_1196.jpg,0.0695,0.038,0.191,0.1371,0,18.94
aug_0_120.jpg,0.1546,0.0291,0.2104,0.1298,0,26.3
aug_0_1207.jpg,0.0667,0.057,0.1941,0.1178,0,18.8
aug_0_121.jpg,0.0096,0.0729,0.0406,0.071,0,11.17
aug_0_1211.jpg,0.0748,0.1538,0.0122,0.1095,0,26.31
aug_0_1213.jpg,0.0804,0.1455,0.0827,0.1005,0,25.65
aug_0_1230.jpg,0.0885,0.1167,0.1335,0.089,0,23.54
aug_0_124.jpg,0.0973,0.1943,0.1599,0.1226,0,32.48
aug_0_1251.jpg,0.084,0.062,0.1848,0.1329,0,21.91
aug_0_1285.jpg,0.0202,0.0984,0.0307,0.0886,0,15.3
aug_0_1288.jpg,0.1188,0.1537,0.1548,0.1153,0,31.09
aug_0_1291.jpg,0.1881,0.1072,0.2118,0.1442,0,36.46
aug_0_1314.jpg,0.062,0.011,0.0822,0.0795,0,12.33
aug_0_1329.jpg,0.0434,0.024,0.0731,0.0502,0,9.48
aug_0_1346.jpg,0.0627,0.0128,0.1368,0.1087,0,14.48
aug_0_1362.jpg,0.089,0.1253,0.1029,0.0767,0,23.4
aug_0_1375.jpg,0.0574,0.0367,0.111,0.0895,0,14.45
aug_0_1394.jpg,0.0934,0.1348,0.1024,0.08,0,24.78
aug_0_1403.jpg,0.0569,0.2043,0.0532,0.1779,0,32.87
aug_0_1410.jpg,0.0209,0.1052,0.1325,0.1782,0,21.86
aug_0_1412.jpg,0.1523,0.1717,0.2388,0.1748,0,39.76
aug_0_1415.jpg,0.1028,0.1547,0.0927,0.1596,0,32.53
aug_0_1431.jpg,0.0874,0.1102,0.1423,0.0902,0,23.02
aug_0_1506.jpg,0.122,0.1133,0.1517,0.1046,0,27.68
aug_0_1529.jpg,0.0673,0.0091,0.1382,0.1118,0,14.86
aug_0_1535.jpg,0.0305,0.0046,0.109,0.0968,0,9.85
aug_0_1554.jpg,0.1165,0.0609,0.1688,0.0943,0,22.51
aug_0_1595.jpg,0.0272,0.118,0.1151,0.1785,0,23.46
aug_0_161.jpg,0.1846,0.0683,0.2128,0.136,0,32.65
aug_0_1623.jpg,0.0455,0.0629,0.0552,0.041,0,12.0
aug_0_1627.jpg,0.0205,0.1078,0.066,0.1263,0,18.56
aug_0_1636.jpg,0.1454,0.1378,0.0713,0.0699,0,29.53
aug_0_1694.jpg,0.0264,0.0757,0.0187,0.0528,0,11.84
aug_0_1706.jpg,0.0185,0.0564,0.1055,0.1163,0,13.83
aug_0_1725.jpg,0.2067,0.1081,0.2558,0.1582,0,39.32
aug_0_1762.jpg,0.011,0.0541,0.0796,0.0835,0,10.72
aug_0_1771.jpg,0.0889,0.083,0.0808,0.0548,0,18.77
aug_0_1780.jpg,0.1504,0.0855,0.1851,0.1099,0,28.78
aug_0_1790.jpg,0.2411,0.1363,0.2684,0.1551,0,44.67
aug_0_1795.jpg,0.1712,0.1096,0.2135,0.125,0,33.67
aug_0_1800.jpg,0.0272,0.0223,0.0811,0.0763,0,9.48
aug_0_1803.jpg,0.0067,0.1011,0.1031,0.1674,0,19.42
aug_0_1826.jpg,0.087,0.1395,0.1555,0.1029,0,26.03
aug_0_1834.jpg,0.1239,0.0764,0.2262,0.1486,0,28.03
aug_0_1849.jpg,0.1667,0.2027,0.0159,0.1328,0,40.72
aug_0_1860.jpg,0.083,0.2128,0.0704,0.1279,0,32.79
aug_0_1870.jpg,0.2242,0.093,0.1731,0.1098,0,36.72
aug_0_1876.jpg,0.0819,0.0264,0.1307,0.0834,0,15.73
aug_0_1916.jpg,0.0289,0.1076,0.0112,0.0903,0,16.98
aug_0_1943.jpg,0.1158,0.0623,0.1837,0.1223,0,24.4
aug_0_1953.jpg,0.113,0.1607,0.025,0.0792,0,28.64
aug_0_1962.jpg,0.143,0.1604,0.0435,0.12,0,34.33
aug_0_2023.jpg,0.123,0.1081,0.2026,0.1386,0,29.64
aug_0_2028.jpg,0.1187,0.1672,0.0962,0.1113,0,31.83
aug_0_204.jpg,0.0574,0.0098,0.1399,0.1063,0,13.56
aug_0_2041.jpg,0.2096,0.1188,0.2038,0.1366,0,38.98
aug_0_2042.jpg,0.1104,0.1513,0.1099,0.147,0,32.18
aug_0_2057.jpg,0.1488,0.2122,0.0749,0.1081,0,38.0
aug_0_207.jpg,0.0813,0.0013,0.1823,0.1353,0,17.25
aug_0_2084.jpg,0.0002,0.0105,0.0453,0.0368,0,3.27
aug_0_2087.jpg,0.0573,0.082,0.035,0.0763,0,16.96
aug_0_2092.jpg,0.0059,0.0111,0.007,0.0139,0,2.35
aug_0_2102.jpg,0.1355,0.1047,0.1879,0.1306,0,30.11
aug_0_2111.jpg,0.119,0.0336,0.1708,0.1094,0,21.72
aug_0_2119.jpg,0.0834,0.0114,0.1648,0.1319,0,17.99
aug_0_2121.jpg,0.0425,0.0319,0.1082,0.0785,0,11.88
aug_0_214.jpg,0.0243,0.0564,0.0612,0.07,0,11.33
