frame,smile_vertical_asymmetry_norm,mouth_horizontal_asymmetry_norm,eye_horizontal_asymmetry_norm,general_symmetry_score_norm,facial_droop_flag,severity_score
aug_0_1006.jpg,0.3027,0.4316,0.3342,0.2835,1,79.17
aug_0_1019.jpg,0.1505,0.266,0.3632,0.2545,1,51.96
aug_0_1035.jpg,0.3069,0.3774,0.4756,0.3549,1,78.99
aug_0_1054.jpg,0.3492,0.4814,0.4254,0.3255,1,84.92
aug_0_1122.jpg,0.3911,0.3748,0.5331,0.3334,1,87.21
aug_0_113.jpg,0.3614,0.439,0.4981,0.3249,1,86.14
aug_0_1131.jpg,0.2213,0.3965,0.3885,0.2579,1,69.06
aug_0_1143.jpg,0.2204,0.1333,0.2672,0.2134,1,46.26
aug_0_1195.jpg,0.3619,0.2379,0.4832,0.3283,1,74.03
aug_0_1228.jpg,0.3179,0.2322,0.5826,0.3587,1,69.21
aug_0_1232.jpg,0.157,0.1467,0.3377,0.2658,1,44.42
aug_0_1279.jpg,0.3558,0.1527,0.4639,0.304,1,67.03
aug_0_1297.jpg,0.0925,0.2324,0.0574,0.1345,1,35.64
aug_0_1304.jpg,0.1463,0.2287,0.1226,0.1078,1,38.96
aug_0_1307.jpg,0.2669,0.4038,0.4105,0.2895,1,75.99
aug_0_1311.jpg,0.0692,0.1246,0.2664,0.1832,1,28.47
aug_0_1312.jpg,0.2864,0.3276,0.4467,0.2961,1,72.95
aug_0_1340.jpg,0.2255,0.1729,0.5076,0.346,1,55.52
aug_0_1370.jpg,0.4063,0.452,0.4182,0.2741,1,88.91
aug_0_1383.jpg,0.0779,0.0518,0.261,0.1887,1,24.25
aug_0_14.jpg,0.2663,0.3496,0.3226,0.2274,1,68.01
aug_0_140.jpg,0.1827,0.1535,0.2979,0.2451,1,46.13
aug_0_1401.jpg,0.2651,0.3506,0.4094,0.2685,1,70.71
aug_0_1422.jpg,0.3287,0.3655,0.4733,0.3088,1,80.28
aug_0_144.jpg,0.2778,0.4823,0.2116,0.2726,1,75.95
